,code,code_name,smarket,kospi200
141,002320,한진,0,0
142,002350,넥센타이어,0,1
143,002355,넥센타이어1우B,0,0
144,002360,SH에너지화학,0,0
145,002380,KCC,0,1
146,002390,한독,0,0
147,002410,범양건영,0,0
148,002420,세기상사,0,0
149,002450,삼익악기,0,0
150,002460,화성산업,0,0
151,002600,조흥,0,0
152,002620,제일파마홀딩스,0,0
153,002630,오리엔트바이오,0,0
154,002690,동일제강,0,0
155,002700,신일산업,0,0
156,002710,TCC동양,0,0
157,002720,국제약품,0,0
158,002760,보락,0,0
159,002780,진흥기업,0,0
160,002785,진흥기업우B,0,0
161,002787,진흥기업2우B,0,0
162,002790,아모레G,0,1
163,002795,아모레G우,0,0
164,002810,삼영무역,0,0
165,002820,선창산업,0,0
166,002840,미원상사,0,0
167,002870,신풍제지,0,0
168,002880,대유에이텍,0,0
169,002900,동양물산,0,0
170,002920,유성기업,0,0
171,002960,한국쉘석유,0,1
172,002990,금호산업,0,0
173,002995,금호산업우,0,0
174,003000,부광약품,0,1
175,003010,혜인,0,0
176,003030,세아제강,0,1
177,003060,에이프로젠제약,0,0
178,003070,코오롱글로벌,0,0
179,003075,코오롱글로벌우,0,0
180,003080,성보화학,0,0
181,003090,대웅,0,0
182,003120,일성신약,0,0
183,003160,디아이,0,0
184,003200,일신방직,0,0
185,003220,대원제약,0,0
186,003230,삼양식품,0,0
187,003240,태광산업,0,1
188,003280,흥아해운,0,0
189,003300,한일홀딩스,0,1
190,003350,한국화장품제조,0,0
191,003410,쌍용양회,0,1
192,003415,쌍용양회우,0,0
193,003460,유화증권,0,0
194,003465,유화증권우,0,0
195,003470,유안타증권,0,0
196,003475,유안타증권우,0,0
197,003480,한진중공업홀딩스,0,0
198,003490,대한항공,0,1
199,003495,대한항공우,0,0
200,003520,영진약품,0,1
201,003530,한화투자증권,0,0
202,003535,한화투자증권우,0,0
203,003540,대신증권,0,0
204,003545,대신증권우,0,0
205,003547,대신증권2우B,0,0
206,003550,LG,0,1
207,003555,LG우,0,0
208,003560,IHQ,0,0
209,003570,S&T중공업,0,0
210,003580,동원,0,0
211,003610,방림,0,0
212,003620,쌍용차,0,1
213,003650,미창석유,0,0
214,003680,한성기업,0,0
215,003690,코리안리,0,0
216,003720,삼영화학,0,0
217,003780,진양산업,0,0
218,003830,대한화섬,0,0
219,003850,보령제약,0,1
220,003920,남양유업,0,1
221,003925,남양유업우,0,0
222,003960,사조대림,0,0
223,004000,롯데정밀화학,0,1
224,004020,현대제철,0,1
225,004060,SG세계물산,0,0
226,004080,신흥,0,0
227,004090,한국석유,0,0
228,004100,태양금속,0,0
229,004105,태양금속우,0,0
230,004130,대덕GDS,0,0
231,004135,대덕GDS우,0,0
232,004140,동방,0,0
233,004150,한솔홀딩스,0,0
234,004170,신세계,0,1
235,004200,고려개발,0,0
236,004250,NPC,0,0
237,004255,NPC우,0,0
238,004270,남성,0,0
239,004310,현대약품,0,0
240,004360,세방,0,0
241,004365,세방우,0,0
242,004370,농심,0,1
243,004380,삼익THK,0,0
244,004410,서울식품,0,0
245,004415,서울식품우,0,0
246,004430,송원산업,0,0
247,004440,대림씨엔에스,0,0
248,004450,삼화왕관,0,0
249,004490,세방전지,0,1
250,004540,깨끗한나라,0,0
251,004545,깨끗한나라우,0,0
252,004560,현대비앤지스틸,0,0
253,004565,현대비앤지스틸우,0,0
